audit_id,contract_id,content_id,expected_payment,actual_payment,difference,violation_type,is_violation,audited_at
d1bd330a-90fb-4fea-9d99-818ad69bcc3f,C0001,Show_277,49121.216,164.84,48956.376000000004,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
d9436827-1844-484b-bfc6-9daef78c60fb,C0002,Show_008,65919.6268,267.76,65651.8668,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
4ceca720-30ad-481a-a1fd-8ef5f67cdf8e,C0003,Music_096,24882.300000000003,253.26,24629.040000000005,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
1bcd7e83-5bbb-4faf-9dbc-e83e53fb802a,C0004,Music_123,53091.931800000006,487.84,52604.09180000001,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
a49dd5c5-9bc3-42e1-98e1-7a81b041587d,C0005,Movie_034,17648.6448,34.37,17614.2748,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
8093ee5e-8b88-47d4-a6fb-f9e9ae1efd4f,C0006,Movie_484,36757.6505,211.18,36546.4705,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
e83ce8d7-402d-4afa-80e0-d61871992504,C0007,Movie_086,57714.878399999994,195.14,57519.738399999995,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
6b362ab0-0057-4206-a32d-f1aa94e36c8d,C0008,Show_251,29756.724,17.75,29738.974,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
e91251da-ac35-4956-9124-fc1f8a76b956,C0009,Movie_355,31456.7696,68.48,31388.2896,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
08ea4769-62e2-4885-935e-d1acdab5b788,C0010,Show_024,35011.245,4.95,35006.295000000006,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
660c8d45-f578-4e57-9154-ba87a46a3930,C0011,Movie_185,25774.268,11.84,25762.428,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
2e9958fa-cbdd-4ae8-9074-13cb6eae7ef1,C0012,Music_010,36327.7524,56.1,36271.6524,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
4923edcb-9030-42d6-b3fc-787d7451cbec,C0013,Movie_419,63389.2288,166.47,63222.758799999996,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
bb79b23a-c922-484e-9132-f6097ff1aeea,C0014,Show_116,45196.0863,7.43,45188.6563,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
cdf73874-55de-46c5-98cf-27632cf2fd67,C0015,Show_183,67293.54879999999,117.64,67175.90879999999,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
0cac5038-85ae-49fd-b194-5155830c934b,C0016,Show_002,32916.9612,75.73,32841.231199999995,UNDERPAYMENT,True,2026-04-01T16:39:44.371127
